Pregunta,Respuesta
¿Puedo recuperar mis documentos después de la baja definitiva?,"Sí, tras el pago correspondiente podrás obtener tus documentos originales; serán sustituidos en el expediente por copias certificadas."
¿Qué es la baja temporal por experiencia educativa?,"Es la cancelación de inscripción a una materia, conservando tus derechos escolares. Se solicita por escrito en los primeros cinco días hábiles del periodo."
¿Cuántas bajas temporales por experiencia educativa puedo solicitar?,Hasta cinco veces durante la permanencia en el programa educativo (no aplica en posgrado).
¿Qué es la baja temporal por periodo escolar?,"Permite cancelar la inscripción al periodo escolar, solicitándose en los primeros quince días del periodo. Solo se puede solicitar a partir del segundo periodo y hasta dos veces."
¿Qué requisitos hay para la baja temporal por periodo escolar?,Realizar el pago correspondiente y presentar la solicitud por escrito a la Secretaría de Facultad durante los primeros quince días del periodo escolar.
¿Qué es la baja temporal extemporánea?,"Baja solicitada fuera del plazo regular, por causas de fuerza mayor y con aprobación del Consejo Técnico antes de la evaluación ordinaria."
¿Cómo solicito la baja temporal extemporánea?,"Solicita por escrito al Consejo Técnico antes de la evaluación ordinaria, anexando justificante y datos completos."
¿Cuántas veces puedo solicitar la baja temporal por periodo escolar?,"Hasta dos ocasiones, consecutivas o no, siempre que no rebase el tiempo máximo de permanencia."
¿Qué sucede si excedo el límite de bajas temporales por periodo escolar?,Causarás baja definitiva del programa educativo.
¿Cómo me inscribo a una EE del Área de Formación de Elección Libre (AFEL)?,Acude a la Secretaría de tu Facultad con tus datos y el NRC de la EE que deseas. Lleva opciones alternas por si no hay cupo.
¿Qué hago si la EE AFEL que deseo ya no tiene cupo?,"Acude con una segunda y tercera opción de EE, ya que la inscripción depende de la disponibilidad."
¿Qué características tienen las EE del AFEL?,"No tienen pre-requisitos, pueden ser cursadas por cualquier estudiante y no exceden 6 créditos."
¿Cómo tramito una baja temporal de una EE AFEL?,"Solicita el trámite en la Secretaría de tu Facultad con tus datos, NRC y nombre de la EE."
¿Qué es la baja extemporánea por EE AFEL?,"Es una baja solicitada antes de la evaluación ordinaria, presentada al Consejo Técnico, por escrito y con justificación."
¿Qué información necesito para inscribirme a una EE AFEL?,"Nombre completo, matrícula, NRC y nombre de la EE. Lleva opciones alternas en caso de falta de cupo."
¿Dónde consulto más información sobre trámites de AFEL?,En la web de la universidad: https://www.uv.mx/estudiantes/tramites-escolares/
¿Qué requisitos hay para cambiarme de programa educativo?,"Haber acreditado el área de Formación Básica General y al menos el 12% de créditos de otras áreas. Presenta tu solicitud, cárdex, CURP y formato de responsiva en los primeros cinco días hábiles del periodo escolar."
¿Qué documentos se requieren para cambio de programa educativo?,"Cárdex académico, CURP, formato de responsiva y solicitud de cambio. Realiza el pago por equivalencia y revalidación."
¿Qué sucede después de solicitar un cambio de programa educativo?,La Dirección de Servicios Escolares asigna matrícula y autoriza la inscripción; se aplica la baja definitiva en el programa de origen.
¿El cambio de programa educativo depende de la capacidad del nuevo programa?,"Sí, está condicionado por la capacidad de cobertura del programa educativo al que deseas ingresar."
¿Cómo hago la carga individual de ficha escolar en SUBES?,"Envía desde tu correo institucional una solicitud a uvbecaexterna@uv.mx con tus datos personales y académicos. Adjunta tu certificado de bachillerato si ingresaste por equivalencia, o el horario si estás en servicio social o experiencia recepcional."
¿Cómo puedo cambiar mi correo electrónico en SUBES?,Solicítalo enviando un correo institucional a uvbecaexterna@uv.mx con tus datos y el nuevo correo. Adjunta horario si estás en servicio social o experiencia recepcional.
¿Cómo puedo aclarar datos escolares en SUBES?,Envía un correo institucional a uvbecaexterna@uv.mx especificando los datos a revisar y adjuntando tu kárdex actualizado.
¿En qué fechas se realiza la carga masiva de fichas escolares en SUBES?,Generalmente entre septiembre y octubre. Consulta las fechas específicas en el comunicado oficial del programa Jóvenes Escribiendo el Futuro.
¿Qué promedio se reporta en SUBES?,"El promedio global del kárdex, considerando todas las EE (acreditadas y no acreditadas)."
¿A dónde acudo para cualquier trámite escolar?,A la Secretaría de tu Facultad o Entidad Académica correspondiente.
¿Qué documentos se requieren para cualquier trámite administrativo escolar?,"Generalmente, acta de nacimiento, CURP, comprobantes de pago y documentos específicos del trámite solicitado."
¿Dónde se pagan los derechos arancelarios de los trámites escolares?,En cualquier caja de la Universidad Veracruzana o por transferencia electrónica en el portal Mi Pago.
¿Puedo solicitar más información sobre becas y convocatorias federales en SUBES?,Debes consultar los contactos oficiales de cada convocatoria o comunicarte al correo uvbecaexterna@uv.mx para dudas administrativas.
"¿Qué hago si tengo dudas sobre mi proceso de inscripción, bajas o cambios?",Consulta directamente en la Secretaría de tu Facultad o a través de los enlaces oficiales de la Universidad Veracruzana.
